field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
workOrderPmId,yes,integer,no,yes,,100.0%,1351,0,1351,,yes,integer,5,5,0,35771,0.1%,CANDIDATE_KEY
setupId,yes,integer,no,yes,,100.0%,1351,0,1258,,,integer,5,5,0,34595,0.2%,
workOrderId,yes,integer,no,yes,,100.0%,1351,0,959,,,integer,5,5,0,98163,0.4%,
createdTimestampUtc,yes,string,yes,no,,100.0%,1351,0,1350,,,date,19,19,0,2026-08-10 16:11:58,0.1%,
createdByUserId,yes,integer,yes,no,,100.0%,1351,0,6,,,integer,4,5,0,9236,89.5%,
isDeleted,yes,boolean,yes,no,,100.0%,1351,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
deletedByUserId,yes,integer,yes,no,,100.0%,1351,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
isCompleted,yes,boolean,yes,no,,100.0%,1351,0,2,,,integer,1,1,0,1,94.4%,TYPE_MISMATCH
isActive,yes,boolean,yes,no,,100.0%,1351,0,2,,,integer,1,1,0,0,94.4%,TYPE_MISMATCH
uuid,yes,string,no,yes,,100.0%,1351,0,1351,,yes,uuid,36,36,0,60d50461-512a-4652-ad98-f2ca6432689c,0.1%,CANDIDATE_KEY
